Date : 2021-10-19 13:59:23
Directory : /home/doug/C-Game
Total : 182 files,  30639 codes, 12593 comments, 4806 blanks, all 48038 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/view_lh_zo.h                          | C++          |         20 |         47 |          8 |         75 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/view_rh.h                             | C++          |         42 |         47 |         11 |        100 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/view_rh_no.h                          | C++          |         20 |         47 |          8 |         75 |
| /home/doug/C-Game/src/engine/vendor/cglm/clipspace/view_rh_zo.h                          | C++          |         20 |         47 |          8 |         75 |
| /home/doug/C-Game/src/engine/vendor/cglm/color.h                                         | C++          |         11 |         11 |          5 |         27 |
| /home/doug/C-Game/src/engine/vendor/cglm/common.h                                        | C++          |         59 |         12 |         14 |         85 |
| /home/doug/C-Game/src/engine/vendor/cglm/curve.h                                         | C++          |         13 |         23 |          5 |         41 |
| /home/doug/C-Game/src/engine/vendor/cglm/ease.h                                          | C++          |        240 |          6 |         72 |        318 |
| /home/doug/C-Game/src/engine/vendor/cglm/euler.h                                         | C++          |        312 |         96 |         44 |        452 |
| /home/doug/C-Game/src/engine/vendor/cglm/frustum.h                                       | C++          |        138 |         82 |         36 |        256 |
| /home/doug/C-Game/src/engine/vendor/cglm/io.h                                            | C++          |        228 |         31 |         86 |        345 |
| /home/doug/C-Game/src/engine/vendor/cglm/mat2.h                                          | C++          |        150 |        154 |         34 |        338 |
| /home/doug/C-Game/src/engine/vendor/cglm/mat3.h                                          | C++          |        216 |        164 |         45 |        425 |
| /home/doug/C-Game/src/engine/vendor/cglm/mat4.h                                          | C++          |        419 |        264 |         72 |        755 |
| /home/doug/C-Game/src/engine/vendor/cglm/plane.h                                         | C++          |         16 |         20 |          9 |         45 |
| /home/doug/C-Game/src/engine/vendor/cglm/project.h                                       | C++          |         59 |         77 |         15 |        151 |
| /home/doug/C-Game/src/engine/vendor/cglm/quat.h                                          | C++          |        425 |        336 |        107 |        868 |
| /home/doug/C-Game/src/engine/vendor/cglm/ray.h                                           | C++          |         35 |         26 |         17 |         78 |
| /home/doug/C-Game/src/engine/vendor/cglm/simd/arm.h                                      | C++          |        137 |         12 |         25 |        174 |
| /home/doug/C-Game/src/engine/vendor/cglm/simd/avx/affine.h                               | C++          |         37 |         16 |         14 |         67 |
